.
Insert  Hint  Begin  Random
143259 76946 144573 169110 
151689 82078 146067 149478 
150211 119906 195530 184228 
146988 78503 151570 153353 
138446 77591 146254 159901 
137089 75158 149411 165090 
141991 91148 155118 176376 
143503 87847 175369 173497 
165261 90140 297961 201662 
201081 110784 173578 195346 
173279 87846 171644 198453 
170957 100196 212599 226823 
161970 86345 168964 185262 
294592 288026 373890 447184 
186147 89392 228125 196544 
240924 99704 204441 202692 
391253 205820 517037 324286 
196296 89250 169386 181954 
178802 90412 197151 194977 
195884 86968 188109 188509 
198339 106929 284389 267179 
200196 97850 333209 459577 
191111 89809 192715 215882 
182076 112532 187724 211296 
336268 204436 315564 293453 
164452 87419 184515 176702 
165532 89050 176879 194488 
171916 92810 200391 192477 
193150 94442 162372 169184 
151662 80077 160489 177305 
161378 104606 205880 195403 
156297 91308 177113 186070 
150232 81147 165592 164332 
148277 104042 176925 164907 
158921 83518 209289 192977 
154049 86024 167263 174019 
148634 81279 176258 172428 
165159 83775 173288 183187 
176405 104314 187670 183417 
156841 87780 159859 190992 
147287 82088 184791 188086 
168281 88606 199815 219365 
212985 104883 180773 190496 
161903 91769 170301 179519 
164193 89735 173161 186910 
150804 85287 165316 181645 
156339 89218 195078 179403 
154187 86811 190614 196332 
165623 97629 168613 171614 
152050 80926 177729 174775 
156505 85735 189345 178678 
157120 84949 167256 169752 
185201 89936 192447 222378 
159773 82549 197263 209444 
159038 101084 194110 207707 
186628 98498 194923 211653 
188821 92956 205802 193164 
163492 110190 183735 197258 
170656 94187 192824 204611 
183728 102559 173912 173400 
